序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
1,GB 16798-2023,食品机械安全要求,Food machinery safety requirements,即将实施,X90,67.260,2023-09-08,2024-04-01,工业和信息化部,工业和信息化部,国家市场监督管理总局、国家标准化管理委员会,None
2,GB 16994.4-2023,港口作业安全要求  第4部分：普通货物集装箱,Safety requirements for port operation—Part 4: General cargo container,即将实施,R43,03.220.40,2023-09-08,2024-04-01,交通运输部,交通运输部,国家市场监督管理总局、国家标准化管理委员会,None
3,GB 29753-2023,道路运输 易腐食品与生物制品 冷藏车安全要求及试验方法,Road transportation一Perishable foodstuffs and biological products一Safety requirement and test methods of refrigerated vehicle,即将实施,T54,43.160,2023-09-08,2024-01-01,工业和信息化部,工业和信息化部,国家市场监督管理总局、国家标准化管理委员会,None
4,GB 43069-2023,矿用电缆安全技术要求,Safety requirements for  mine cable,即将实施,K13,29.060.20,2023-09-08,2025-04-01,国家矿山安全监察局,国家矿山安全监察局,国家市场监督管理总局、国家标准化管理委员会,None
5,GB 43068-2023,煤矿用跑车防护装置安全技术要求,Safety technical requirements for coal mine-used car catcher,即将实施,D18,73.100.40,2023-09-08,2024-04-01,国家矿山安全监察局,国家矿山安全监察局,国家市场监督管理总局、国家标准化管理委员会,None
6,GB 43066-2023,煤矿用被动式隔爆设施安全技术要求,Safety technique requirements for  passive flameproof facilities of  coal mine,即将实施,D09,13.100,2023-09-08,2024-04-01,国家矿山安全监察局,国家矿山安全监察局,国家市场监督管理总局、国家标准化管理委员会,None
7,GB 43067-2023,煤矿用仪器仪表安全技术要求,Technical requirements for safety of environmental monitoring instruments for coalmines,即将实施,N21,13.100,2023-09-08,2024-04-01,国家矿山安全监察局,国家矿山安全监察局,国家市场监督管理总局、国家标准化管理委员会,None
8,GB 7957-2023,煤矿用矿灯安全技术要求,Safety technical requirement for cap lamps in coal mine,即将实施,K35,29.260.20,2023-09-08,2025-04-01,国家矿山安全监察局,国家矿山安全监察局,国家市场监督管理总局、国家标准化管理委员会,None
9,GB 43049-2023,连铸机安全技术条件,Safety technical conditions for continuous casting machines,即将实施,H93,77.180,2023-09-08,2024-10-01,工业和信息化部,工业和信息化部,国家市场监督管理总局、国家标准化管理委员会,None
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
1,GB 16798-2023,食品机械安全要求,Food machinery safety requirements,即将实施,X90,67.260,2023-09-08,2024-04-01,工业和信息化部,工业和信息化部,国家市场监督管理总局、国家标准化管理委员会,None
2,GB 29753-2023,道路运输 易腐食品与生物制品 冷藏车安全要求及试验方法,Road transportation一Perishable foodstuffs and biological products一Safety requirement and test methods of refrigerated vehicle,即将实施,T54,43.160,2023-09-08,2024-01-01,工业和信息化部,工业和信息化部,国家市场监督管理总局、国家标准化管理委员会,None
3,GB 43069-2023,矿用电缆安全技术要求,Safety requirements for  mine cable,即将实施,K13,29.060.20,2023-09-08,2025-04-01,国家矿山安全监察局,国家矿山安全监察局,国家市场监督管理总局、国家标准化管理委员会,None
4,GB 43068-2023,煤矿用跑车防护装置安全技术要求,Safety technical requirements for coal mine-used car catcher,即将实施,D18,73.100.40,2023-09-08,2024-04-01,国家矿山安全监察局,国家矿山安全监察局,国家市场监督管理总局、国家标准化管理委员会,None
5,GB 43066-2023,煤矿用被动式隔爆设施安全技术要求,Safety technique requirements for  passive flameproof facilities of  coal mine,即将实施,D09,13.100,2023-09-08,2024-04-01,国家矿山安全监察局,国家矿山安全监察局,国家市场监督管理总局、国家标准化管理委员会,None
6,GB 43067-2023,煤矿用仪器仪表安全技术要求,Technical requirements for safety of environmental monitoring instruments for coalmines,即将实施,N21,13.100,2023-09-08,2024-04-01,国家矿山安全监察局,国家矿山安全监察局,国家市场监督管理总局、国家标准化管理委员会,None
7,GB 7957-2023,煤矿用矿灯安全技术要求,Safety technical requirement for cap lamps in coal mine,即将实施,K35,29.260.20,2023-09-08,2025-04-01,国家矿山安全监察局,国家矿山安全监察局,国家市场监督管理总局、国家标准化管理委员会,None
8,GB 43203-2023,选煤厂安全规程,Code of practice for coal preparation plant safety,即将实施,D16,73.120,2023-09-08,2024-07-01,国家矿山安全监察局,国家矿山安全监察局,国家市场监督管理总局、国家标准化管理委员会,None
9,GB 43049-2023,连铸机安全技术条件,Safety technical conditions for continuous casting machines,即将实施,H93,77.180,2023-09-08,2024-10-01,工业和信息化部,工业和信息化部,国家市场监督管理总局、国家标准化管理委员会,None
