序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
1,GB/T 3883.202-2019,手持式、可移式电动工具和园林工具的安全 第202部分：手持式螺丝刀和冲击扳手的专用要求,"Safety of motor-operated hand-held, transportable and garden tools—Part 202: Particular requirements for hand-held screwdrivers and impact wrenches",即将实施,K64,25.140.20,2019-10-18,2020-05-01,中国电器工业协会,全国电动工具标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
2,GB/T 3883.204-2019,手持式、可移式电动工具和园林工具的安全 第204部分：手持式非盘式砂光机和抛光机的专用要求,"Safety of motor-operated hand-held, transportable and garden tools—Part 204: Particular requirements for hand-held sanders and polishers other than disc type",即将实施,K64,25.140.20,2019-10-18,2020-05-01,中国电器工业协会,全国电动工具标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
3,GB/T 3883.205-2019,手持式、可移式电动工具和园林工具的安全 第205部分：手持式圆锯的专用要求,"Safety of motor-operated hand-held, transportable and garden tools—Part 205: Particular requirements for hand-held circular saws",即将实施,K64,25.140.20,2019-10-18,2020-05-01,中国电器工业协会,全国电动工具标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
4,GB/T 3883.210-2019,手持式、可移式电动工具和园林工具的安全 第210部分：手持式电刨的专用要求,"Safety of motor-operated hand-held, transportable and garden tools—Part 210: Particular requirements for hand-held planers",即将实施,K64,25.140.20,2019-10-18,2020-05-01,中国电器工业协会,全国电动工具标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
5,GB/T 3883.311-2019,手持式、可移式电动工具和园林工具的安全 第311部分：可移式型材切割机的专用要求,"Safety of motor-operated hand-held, transportable and garden tools—Part 311: Particular requirements for transportable cut-off machines",即将实施,K64,25.140.20,2019-10-18,2020-05-01,中国电器工业协会,全国电动工具标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
6,GB/T 10395.3-2019,农业机械  安全 第3部分：固体肥料撒施机,Agricultural machinery—Safety—Part 3:Solid fertilizer distributors,即将实施,B91,65.060.30,2019-10-18,2020-05-01,中国机械工业联合会,全国农业机械标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
7,GB/T 19212.13-2019,变压器、电抗器、电源装置及其组合的安全  第13部分：恒压变压器和电源装置的特殊要求和试验,Safety of transformers，reactors，power supply units and combination thereof—Part 13: Particular requirements and tests for constant voltage transformers and power supply units for constant voltage,即将实施,K41,29.180,2019-10-18,2020-05-01,中国电器工业协会,全国小型电力变压器、电抗器、电源装置及类似产品标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
8,GB/T 19212.17-2019,电源电压为1100V及以下的变压器、电抗器、电源装置和类似产品的安全  第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验,"Safety of transformers, reactors, power supply units and similar products for supply voltages up to 1 100 V—Part 17: Particular requirements and tests for switch mode power supply units and transformers for switch mode power supply units",即将实施,K41,29.180,2019-10-18,2020-05-01,中国电器工业协会,全国小型电力变压器、电抗器、电源装置及类似产品标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
9,GB/T 22704-2019,提高机械安全性的儿童服装设计和生产实施规范,Code of practice for the design and manufacture of children's clothing to promote mechanical safety,即将实施,Y75,61.020,2019-10-18,2020-05-01,中国纺织工业联合会,全国服装标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
10,GB/T 22705-2019,童装绳索和拉带安全要求,Safety specifications for cords and drawstrings on children's clothing,即将实施,Y75,61.020,2019-10-18,2020-05-01,中国纺织工业联合会,全国服装标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
