时间	开盘	最高	最低	收盘	涨跌	涨幅%	振幅%	总手(万)	金额(亿)	
1990-12-19,三	96.05	99.98	95.79	99.98	--	--	--	49400	494311	
1990-12-20,四	104.30	104.39	99.98	104.39	+4.41	4.41	4.41	8400	84992	
1990-12-21,五	109.07	109.13	103.73	109.13	+4.74	4.54	5.17	1600	16096	
1990-12-24,一	113.57	114.55	109.13	114.55	+5.42	4.97	4.97	3100	31063	
1990-12-25,二	120.09	120.25	114.55	120.25	+5.70	4.98	4.98	600	6510	
1990-12-26,三	125.27	125.27	120.25	125.27	+5.02	4.17	4.17	5300	53730	
1990-12-27,四	125.27	125.28	125.27	125.28	+0.01	0.01	0.008	10400	104644	
1990-12-28,五	126.39	126.45	125.28	126.45	+1.17	0.93	0.934	8800	88031	
1990-12-31,一	126.56	127.61	126.48	127.61	+1.16	0.92	0.894	6000	60030	
1991-01-02,三	127.61	128.84	127.61	128.84	+1.23	0.96	0.964	5900	59098	
1991-01-03,四	128.84	130.13	128.84	130.13	+1.29	1.00	1.00	9300	93918	
1991-01-04,五	131.27	131.44	130.13	131.44	+1.31	1.01	1.01	26100	261904	
1991-01-07,一	131.99	132.06	131.44	132.06	+0.62	0.47	0.472	14100	141737	
1991-01-08,二	132.62	132.68	132.06	132.68	+0.62	0.47	0.469	180600	1806867	
1991-01-09,三	133.30	133.34	132.68	133.34	+0.66	0.50	0.497	322800	3228719	
1991-01-10,四	133.93	133.97	133.34	133.97	+0.63	0.47	0.472	539900	5399457	
1991-01-11,五	134.61	134.61	134.51	134.60	+0.63	0.47	0.075	711500	7115732	
1991-01-14,一	134.11	135.19	134.11	134.66	+0.06	0.04	0.802	688300	6883604	
1991-01-15,二	134.21	134.74	134.19	134.74	+0.08	0.06	0.408	101000	1010364	
1991-01-16,三	134.19	134.74	134.13	134.24	-0.50	-0.37	0.453	27000	270133	
1991-01-17,四	133.66	134.25	133.65	134.25	+0.01	0.01	0.447	33400	334238	
1991-01-18,五	133.69	134.25	133.66	134.24	-0.01	-0.01	0.439	157000	1570833	
1991-01-21,一	133.69	134.24	133.66	134.24	+0.00	0.00	0.432	102900	1029305	
1991-01-22,二	133.72	134.24	133.66	133.72	-0.52	-0.39	0.432	18000	180787	
1991-01-23,三	133.16	133.72	133.13	133.16	-0.56	-0.42	0.441	57500	575928	
1991-01-24,四	132.61	133.16	132.57	132.61	-0.55	-0.41	0.443	91700	917392	
1991-01-25,五	132.05	132.07	132.03	132.05	-0.56	-0.42	0.030	172200	1722246	
1991-01-28,一	131.46	131.55	131.46	131.46	-0.59	-0.45	0.068	256500	2565573	
1991-01-29,二	130.94	130.97	130.94	130.94	-0.52	-0.40	0.023	71000	710741	
1991-01-30,三	130.44	130.94	130.41	130.44	-0.50	-0.38	0.405	26000	260701	
1991-01-31,四	129.93	130.46	129.93	129.97	-0.47	-0.36	0.406	24400	244662	
1991-02-01,五	129.50	129.97	129.44	129.51	-0.46	-0.35	0.408	14000	140871	
1991-02-04,一	129.05	129.58	129.05	129.05	-0.46	-0.36	0.409	27300	273652	
1991-02-05,二	128.56	128.58	128.53	128.58	-0.47	-0.36	0.039	425000	4250084	
1991-02-06,三	129.13	129.15	128.06	129.13	+0.55	0.43	0.848	384700	3847268	
1991-02-07,四	129.74	129.79	129.13	129.79	+0.66	0.51	0.511	150400	1504814	
1991-02-08,五	130.36	130.38	129.79	130.38	+0.59	0.45	0.455	87900	879868	
1991-02-11,一	130.91	130.97	130.38	130.97	+0.59	0.45	0.453	483400	4834876	
1991-02-12,二	131.54	131.56	130.97	131.35	+0.38	0.29	0.450	198600	1986983	
1991-02-13,三	131.93	131.93	131.35	131.91	+0.56	0.43	0.442	67300	673738	
1991-02-14,四	132.53	132.53	132.30	132.53	+0.62	0.47	0.174	188300	1883072	
1991-02-19,二	133.12	133.13	133.08	133.13	+0.60	0.45	0.038	121600	1216176	
1991-02-20,三	133.63	133.66	133.13	133.66	+0.53	0.40	0.398	52000	520724	
1991-02-21,四	134.24	134.28	133.66	134.28	+0.62	0.46	0.464	177100	1771726	
1991-02-22,五	134.85	134.87	134.28	134.87	+0.59	0.44	0.439	200300	2003776	
1991-02-25,一	134.37	134.87	134.33	134.40	-0.47	-0.35	0.400	62100	621015	
1991-02-26,二	133.90	134.44	133.90	133.93	-0.47	-0.35	0.402	254500	2545711	
1991-02-27,三	133.44	133.97	133.44	133.47	-0.46	-0.34	0.396	14100	141958	
1991-02-28,四	132.99	133.52	132.97	133.01	-0.46	-0.34	0.412	118700	1187974	
1991-03-01,五	132.53	132.53	132.47	132.53	-0.48	-0.36	0.045	377700	3777320	
1991-03-04,一	132.09	132.09	131.97	131.99	-0.54	-0.41	0.091	141800	1418017	
1991-03-05,二	131.41	131.99	131.41	131.46	-0.53	-0.40	0.439	93400	934706	
1991-03-06,三	130.88	130.94	130.88	130.94	-0.52	-0.40	0.046	134500	1345390	
1991-03-07,四	130.41	130.94	130.41	130.41	-0.53	-0.40	0.405	42700	427475	
1991-03-08,五	129.84	130.41	129.84	129.88	-0.53	-0.41	0.437	54100	541770	
1991-03-11,一	129.30	129.88	129.30	129.31	-0.57	-0.44	0.447	29900	299524	
1991-03-12,二	128.72	129.31	128.72	128.77	-0.54	-0.42	0.456	78300	783099	
1991-03-13,三	126.13	128.77	126.13	126.15	-2.62	-2.03	2.05	41800	418280	
1991-03-14,四	125.61	126.15	125.61	125.63	-0.52	-0.41	0.428	24200	242557	
1991-03-15,五	125.08	125.62	125.08	125.17	-0.46	-0.37	0.430	40300	403520	
1991-03-18,一	124.70	125.17	124.69	124.71	-0.46	-0.37	0.383	121000	1210411	
1991-03-19,二	124.23	124.71	124.22	124.22	-0.49	-0.39	0.393	68200	682933	
1991-03-20,三	123.66	124.21	123.63	123.66	-0.56	-0.45	0.467	43300	433147	
1991-03-21,四	123.14	123.66	123.12	123.12	-0.54	-0.44	0.437	13100	131064	
