日期	收盘	开盘	高	低	交易量	涨跌幅
2024-5-24	3,111.50	3,110.75	3,130.42	3,105.58	186.59K	-0.16%
2024-5-23	3,116.39	3,149.88	3,150.63	3,110.28	35.39B	-1.33%
2024-5-22	3,158.54	3,157.19	3,166.92	3,152.46	35.41B	+0.02%
2024-5-21	3,157.97	3,164.68	3,165.22	3,148.34	33.58B	-0.42%
2024-5-20	3,171.15	3,156.15	3,174.27	3,155.99	42.69B	+0.54%
2024-5-17	3,154.03	3,121.71	3,154.03	3,116.90	383.92K	+1.01%
2024-5-16	3,122.40	3,127.18	3,137.88	3,116.16	36.74B	+0.08%
2024-5-15	3,119.92	3,141.25	3,142.52	3,117.93	317.12K	-0.84%
2024-5-14	3,146.29	3,148.85	3,155.64	3,137.66	340.51K	-0.06%
2024-5-13	3,148.17	3,139.48	3,157.37	3,126.17	393.14K	-0.20%
2024-5-10	3,154.55	3,158.59	3,163.14	3,137.15	38.43B	-0.03%
2024-5-9	3,155.43	3,128.16	3,158.29	3,128.16	356.14K	+0.86%
2024-5-8	3,128.48	3,141.49	3,144.99	3,126.17	33.40B	-0.61%
2024-5-7	3,147.74	3,139.66	3,151.22	3,133.69	37.91B	+0.22%
2024-5-6	3,140.72	3,132.51	3,142.38	3,126.77	45.07B	+1.16%
2024-4-30	3,104.82	3,110.16	3,123.29	3,104.29	44.02B	-0.26%
2024-4-29	3,113.04	3,086.68	3,119.69	3,080.59	50.69B	+0.79%
2024-4-26	3,088.64	3,054.98	3,092.43	3,054.98	43.94B	+1.17%
2024-4-25	3,052.90	3,037.93	3,060.26	3,034.65	29.23B	+0.27%
2024-4-24	3,044.82	3,029.40	3,045.64	3,019.12	30.53B	+0.76%
2024-4-23	3,021.98	3,038.61	3,044.94	3,016.52	32.56B	-0.74%
2024-4-22	3,044.60	3,059.06	3,078.42	3,042.54	35.72B	-0.67%
2024-4-19	3,065.26	3,060.30	3,080.32	3,055.06	37.55B	-0.29%
2024-4-18	3,074.22	3,060.03	3,102.55	3,057.76	41.63B	+0.09%
2024-4-17	3,071.38	3,008.06	3,071.38	3,002.06	41.34B	+2.14%
2024-4-16	3,007.07	3,043.55	3,052.43	3,005.34	44.81B	-1.65%
2024-4-15	3,057.38	3,013.67	3,066.94	2,995.54	46.12B	+1.26%
2024-4-12	3,019.47	3,035.58	3,043.56	3,014.83	33.42B	-0.49%
2024-4-11	3,034.25	3,013.57	3,050.34	3,009.90	34.09B	+0.23%
2024-4-10	3,027.33	3,045.96	3,049.61	3,013.59	34.90B	-0.70%
2024-4-9	3,048.54	3,044.61	3,051.59	3,033.21	33.35B	+0.05%
2024-4-8	3,047.05	3,057.33	3,077.35	3,045.47	40.29B	-0.72%
2024-4-3	3,069.30	3,074.89	3,079.02	3,057.40	36.32B	-0.18%
2024-4-2	3,074.96	3,076.88	3,085.54	3,063.98	36.73B	-0.08%
2024-4-1	3,077.38	3,049.02	3,078.49	3,049.02	37.54B	+1.19%
2024-3-29	3,041.17	3,008.38	3,041.30	3,008.17	33.48B	+1.01%
2024-3-28	3,010.66	2,988.59	3,033.37	2,984.12	35.32B	+0.59%
