date,active_address_count
2022-07-01,489381
2022-07-02,514413
2022-07-03,466045
2022-07-04,463405
2022-07-05,466045
2022-07-06,477525
2022-07-07,489077
2022-07-08,480886
2022-07-09,488705
2022-07-10,493408
2022-07-11,450161
2022-07-12,458682
2022-07-13,489458
2022-07-14,512453
2022-07-15,547281
2022-07-16,584396
2022-07-17,554635
2022-07-18,507491
2022-07-19,491573
2022-07-20,501507
2022-07-21,516092
2022-07-22,539269
2022-07-23,498151
2022-07-24,490573
2022-07-25,607651
2022-07-26,1066897
2022-07-27,532079
2022-07-28,506074
2022-07-29,530964
2022-07-30,538150
2022-07-31,526269
2022-08-01,669313
2022-08-02,537550
2022-08-03,574027
2022-08-04,846040
2022-08-05,553036
2022-08-06,553367
2022-08-07,548148
2022-08-08,508974
2022-08-09,490875
2022-08-10,497666
2022-08-11,468860
2022-08-12,498698
2022-08-13,495183
2022-08-14,477655
2022-08-15,464888
2022-08-16,490641
2022-08-17,499813
2022-08-18,504036
2022-08-19,470151
2022-08-20,461725
2022-08-21,485843
2022-08-22,449780
2022-08-23,453813
2022-08-24,460104
2022-08-25,478711
2022-08-26,452828
2022-08-27,460145
2022-08-28,445406
2022-08-29,442555
2022-08-30,434731
2022-08-31,436393
2022-09-01,459818
2022-09-02,483772
2022-09-03,495929
2022-09-04,556551
2022-09-05,496769
2022-09-06,474526
2022-09-07,447322
2022-09-08,475807
2022-09-09,486896
2022-09-10,463783
2022-09-11,459705
2022-09-12,453457
2022-09-13,489601
2022-09-14,536413
2022-09-15,619188
2022-09-16,627037
2022-09-17,658627
2022-09-18,472301
2022-09-19,451128
2022-09-20,457746
2022-09-21,448226
2022-09-22,446190
2022-09-23,463057
2022-09-24,488202
2022-09-25,446629
2022-09-26,461596
2022-09-27,523026
2022-09-28,440691
2022-09-29,462393
2022-09-30,452592
2022-10-01,450113
2022-10-02,452324
2022-10-03,421138
2022-10-04,443790
2022-10-05,464150
2022-10-06,518357
2022-10-07,504680
2022-10-08,545063
2022-10-09,548123
2022-10-10,544017
2022-10-11,522218
2022-10-12,496692
2022-10-13,480219
2022-10-14,467625
2022-10-15,491788
2022-10-16,414319
2022-10-17,421043
2022-10-18,391349
2022-10-19,407644
2022-10-20,454851
2022-10-21,445055
2022-10-22,392381
2022-10-23,409087
2022-10-24,423634
2022-10-25,411860
2022-10-26,449232
2022-10-27,462003
2022-10-28,408306
2022-10-29,404657
2022-10-30,401589
2022-10-31,422662
2022-11-01,437891
2022-11-02,398886
2022-11-03,429432
2022-11-04,399998
2022-11-05,399821
2022-11-06,376905
2022-11-07,435007
2022-11-08,420958
2022-11-09,465953
2022-11-10,437760
2022-11-11,429681
2022-11-12,417414
2022-11-13,427549
2022-11-14,479480
2022-11-15,471324
2022-11-16,449936
2022-11-17,467157
2022-11-18,430623
2022-11-19,388221
2022-11-20,366041
2022-11-21,377690
2022-11-22,380100
2022-11-23,412434
2022-11-24,455450
2022-11-25,457114
2022-11-26,420036
2022-11-27,389264
2022-11-28,496441
2022-11-29,456785
