41, 49; 10, 73; 45, 30; 17, 87
35, 17; 7, 18; 35, 40; 16, 5
55, 45; 13, 76; 41, 37; 16, 6
55, 20; 19, 73; 64, 42; 9, 29
15, 30; 26, 20; 40, 60; 21, 25
25, 30; 3, 49; 31, 52; 27, 17
20, 50; 5, 36; 35, 69; 23, 67
10, 43; 9, 50; 53, 52; 11, 24
55, 60; 16, 47; 65, 55; 14, 70
30, 60; 16, 85; 63, 65; 8, 54
20, 65; 12, 33; 2, 60; 5, 41
50, 35; 19, 15; 20, 20; 8, 87
30, 25; 23, 79; 5, 5; 16, 42
15, 10; 20, 32; 60, 12; 31, 33
30, 5; 8, 30; 40, 25; 9, 40
10, 20; 19, 29; 42, 7; 5, 43
5, 30; 2, 60; 24, 12; 5, 25
20, 40; 12, 47; 23, 3; 7, 82
15, 60; 17, 32; 11, 14; 18, 31
45, 65; 9, 79; 6, 38; 16, 29
45, 20; 11, 18; 2, 48; 1, 63
45, 10; 18, 50; 8, 56; 27, 34
55, 5; 29, 36; 13, 52; 36, 65
65, 35; 3, 58; 6, 68; 30, 73
65, 20; 6, 56; 47, 47; 13, 75
