date,erc20_transfers
2022-07-01,1109039
2022-07-02,1051280
2022-07-03,1033201
2022-07-04,1130763
2022-07-05,1057013
2022-07-06,1046346
2022-07-07,1010660
2022-07-08,1045604
2022-07-09,1014511
2022-07-10,1065260
2022-07-11,1107751
2022-07-12,1093022
2022-07-13,1083683
2022-07-14,1089872
2022-07-15,1039462
2022-07-16,1182239
2022-07-17,974078
2022-07-18,1074261
2022-07-19,1107489
2022-07-20,1047687
2022-07-21,1030672
2022-07-22,1060198
2022-07-23,1000798
2022-07-24,1095401
2022-07-25,995377
2022-07-26,921982
2022-07-27,1039447
2022-07-28,1010645
2022-07-29,999105
2022-07-30,1041126
2022-07-31,1036461
2022-08-01,1005835
2022-08-02,1167408
2022-08-03,1005020
2022-08-04,941805
2022-08-05,1146412
2022-08-06,1055322
2022-08-07,1069264
2022-08-08,1090059
2022-08-09,1041729
2022-08-10,1044222
2022-08-11,1005637
2022-08-12,1096064
2022-08-13,1057574
2022-08-14,1057886
2022-08-15,1065985
2022-08-16,1091931
2022-08-17,1086177
2022-08-18,1111329
2022-08-19,1060126
2022-08-20,954884
2022-08-21,1166641
2022-08-22,1024302
2022-08-23,1032385
2022-08-24,1095787
2022-08-25,1217631
2022-08-26,1055345
2022-08-27,1133460
2022-08-28,1120302
2022-08-29,1028419
2022-08-30,1043661
2022-08-31,934303
2022-09-01,1016369
2022-09-02,1078559
2022-09-03,1195573
2022-09-04,972857
2022-09-05,1594582
2022-09-06,1281065
2022-09-07,1039680
2022-09-08,1188052
2022-09-09,1028745
2022-09-10,985920
2022-09-11,1002573
2022-09-12,1015014
2022-09-13,1069058
2022-09-14,969260
2022-09-15,1186833
2022-09-16,1303522
2022-09-17,1329905
2022-09-18,1399608
2022-09-19,1448581
2022-09-20,1556866
2022-09-21,1367783
2022-09-22,1323738
2022-09-23,1296529
2022-09-24,1522005
2022-09-25,1320076
2022-09-26,1499395
2022-09-27,1293395
2022-09-28,1369555
2022-09-29,1369743
2022-09-30,1128217
2022-10-01,1240276
2022-10-02,1227228
2022-10-03,992071
2022-10-04,1199819
2022-10-05,1222379
2022-10-06,1271928
2022-10-07,1217843
2022-10-08,991842
2022-10-09,593105
2022-10-10,838857
2022-10-11,967173
2022-10-12,934816
2022-10-13,1071669
2022-10-14,1050895
2022-10-15,960192
2022-10-16,1083970
2022-10-17,1204034
2022-10-18,1179230
2022-10-19,1082219
2022-10-20,1109325
2022-10-21,1146932
2022-10-22,1004424
2022-10-23,1024453
2022-10-24,1079958
2022-10-25,1144658
2022-10-26,1151290
2022-10-27,1140411
2022-10-28,1072965
2022-10-29,1130780
2022-10-30,1130570
2022-10-31,1117578
2022-11-01,1083338
2022-11-02,987100
2022-11-03,1001481
2022-11-04,981228
2022-11-05,1103343
2022-11-06,1047284
2022-11-07,1151444
2022-11-08,1295600
2022-11-09,1256714
2022-11-10,1214948
2022-11-11,1227566
2022-11-12,1065077
2022-11-13,1139617
2022-11-14,1195538
2022-11-15,1108966
2022-11-16,1023962
2022-11-17,1033478
2022-11-18,970354
2022-11-19,865738
2022-11-20,995976
2022-11-21,1037075
2022-11-22,1053922
2022-11-23,1362696
2022-11-24,1024222
2022-11-25,934957
2022-11-26,996367
2022-11-27,947267
2022-11-28,1046616
2022-11-29,1073948
